"Specific Term","Generic Term","Associated Meeting","Proposer","Year of Proposal","Discoverer","Year of Discovery","Origin of Name","Additional Information","Coordinates","Secondary Coordinates"
"Shadrin","Seamount","SCUFN-16","Garrik E. Grikurov, All-Russia Research Institute for Geology and Mineral Resources of the World Ocean (VNIIOkeangeologia)",,"USSR Northern Fleet Hydrographic Expedition",,"Named after Grigoriy Il'ich Shadrin (1896-1952), Russian hydrographer. From 1939 he served at the Northern Fleet Hydrographic Division, where he conducted hydrographic surveys in the Arctic Ocean, in support of the fleet combat operations during WWII. He also led transport convoy and mining operations.","Relief: 1250 m.","POINT (-158.666667 86.698333)",
"Shaka","Fracture Zone",,,,,,,,"POINT (9 -53.5)",
"Shaka","Ridge",,,,,,,,"POINT (11.833333 -51.75)",
"Shalovich","Seamount",,,,,,,"Shown as Shalowitz Seamount in the ACUF Gazetteer.","POINT (-135.2 46.15)",
"Shamrock","Canyon","SCUFN-14","R. Le Suavé & J.-F. Bourillet, IFREMER, France",,,,"Named after HMS Shamrock, British research (or Hydrographic) vessel.","Includes the Shamrock Valley.","LINESTRING (-9.3 47.6667, -9.2492 47.6806, -9.1743 47.6787, -9.1014 47.6769, -8.9909 47.6741, -8.9324 47.6664, -8.8788 47.6609, -8.8203 47.6762, -8.757 47.6938, -8.6903 47.6916, -8.64 47.7015, -8.6091 47.7223, -8.6124 47.7431, -8.6221 47.7618, -8.653 47.7826, -8.6611 47.8012, -8.6497 47.8231, -8.627 47.8329, -8.5896 47.8373, -8.5604 47.8635, -8.523 47.9029, -8.5035 47.9465, -8.4548 47.9749, -8.3963 48.0011, -8.3589 48.0251, -8.3411 48.0676, -8.3232 48.1122, -8.2794 48.1453, -8.2331 48.1674, -8.1717 48.1967)",
"Shamrock","Valley","SCUFN-14","R. Le Suavé & J.-F. Bourillet, IFREMER, France",,,,"Named after HMS Shamrock, British research (or hydrographic) vessel.","Intermediate section of the Shamrock Canyon/Shamrock Seachannel system.","LINESTRING (-9.345 47.686667, -8.67 47.685)",
"Shamshur","Hill","SCUFN-16","Garrik E. Grikurov, All-Russia Research Institute for Geology and Mineral Resources of the World Ocean (VNIIOkeangeologia)",,"USSR Northern Fleet Hydrographic Expedition",,"Named after Boris Ivanovich Shamshur (1903-1989), Russian hydrographer. He successively supervised hydrographic works at the North Hydrographic Expedition, led a division of the Murmansk Pilot Service, and was Chief of the Northern Fleet Hydrographic Division, thus contributing to the study of the northern seas. He also organized several expeditions to Zemlya Frantsa-Iosifa, Spitsbergen, and the Norwegian and Greenland Seas. He served from 1942 at the Navy Hydrographic Department, ending as Deputy Chief of the Department.",,"POINT (-179.833333 82.061667)",
"Shandabylov","Seamount","SCUFN-18","HDNO, Russian Federation",,"Russian research vessel ""Professor Zubov""",,"Named after Vladimir Dem'yanovich Shandabylov (1913-1995), a navigation officer for the Baltic and Pacific Fleets. He was the Deputy Chief of the Navy Hydrographic Service and contributed to standardizing hydrographic efforts.","Minimum depth: 1664 m; Total relief: 1436 m. The seamount is located north of the Mendocino Fracture Zone. It has an oval shape with a slope steepness of 10°-17°.","POINT (-131.04666667 41.3)",
"Shannon","Seamount",,"Eric S. W. Simpson and E. Forder, University of Cape Town (UCT), South Africa",,,,,,"POINT (2.5 -43)",
"Sharpeigh","Knoll","SCUFN-17","Robert Whitmarsh, U. of South Hampton, UK",,,,"The knoll is named after Alexander Sharpeigh who made the first recorded discovery and landing in the Seychelles in 1609. He led an expedition sponsored by the East India Company as described in the Journal of John Jourdain.","Minimum depth: 2800 m; Total depth: 700 m.","POINT (56.223333 -3.563333)",
"Shatsky","Rise",,"Gleb B. Udintsev, Institute of Oceanology of the Russian Academy of Sciences (IO RAS), Institute of Oceanology, Russian Academy of Sciences (IO RAS), 
Nakhimovskiy pr., 36, Moscow, Russia, 117218",,"Russian research vessel ""Vityaz""",,"Named after the Russian geologist and tectonicist, Academician N. S. Shatsky (1895-1960).",,"LINESTRING (157.25 30, 158.052953125 31.70732734375, 158.69586328125 32.90120078125, 159.4958 34.1551, 160.41595390625 35.26878203125, 161.23314453125 36.1399546875, 162.1673625 37.1746546875, 162.910790625 37.93111953125, 163.7025265625 39.61028203125, 164.2212453125 40.85122734375, 165.0456 41.8932, 165.7401 42.7438, 166.8862 43.3043, 168.5 43.5)",
"Shaykin","Hill","SCUFN-16","Garrik E. Grikurov, All-Russia Research Institute for Geology and Mineral Resources of the World Ocean (VNIIOkeangeologia)","2003","USSR Northern Fleet Hydrographic Expedition","1984","Named after Mikhail Aleksandrovich Shaykin (1929-1987), a Russian magnetologist at the North Hydrographic Expedition. He carried out magnetic surveys in different areas of the northern seas and, from 1962, in Canada Basin, Podvodnikov Basin, E. of Chukchi Rise, N. of Zemlya Frantsa-Iosifa and NE of Chukchi Sea. He contributed greatly to the study of the Arctic Ocean geophysical fields.",,"POINT (121.593009440157 81.2116324530563)",
"Shcherbakov","Seamount",,"L. K. Zatonskij, Institute of Oceanology of the Russian Academy of Sciences (IO RAS)",,"Russian research vessel ""Vityaz""",,"Named after the Russian hydrobiologist, Academician D. I. Shcherbakov (1893-1966).","Least depth; 1438 m.","POINT (104.666667 -10.916667)",
"Shchukin","Seamount","SCUFN-12","Russian Federal Research Institute of Fisheries and Oceanography (VNIRO), VNIRO, 17 V. Krasnoselskaya St., Moscow 107140, Russian Federation",,"Russian fisheries research vessel ""Novoceboksarsk""",,"Named after the Russian geomorphologist I. S. Shchukin (1885-1985), Professor of Moscow University.","Estimated least depth: 589 m.","POINT (-105.166667 -44.333333)",
"Sheldrake","Seamount",,,,,,,,"POINT (-62.166667 38.416667)",
"Shell","Bank","SCUFN-13","Capt. J. J. Doyle, Australian HO",,,,"Of all the five outlying submarine banks in the Heard Island region, this is the only one which has sediment made of fine white shell grit. The others have sediment of fine black volcanic sand.","A submarine bank on the Kerguelen Plateau 126 nm north-east from Heard Island. The bank is about 200 m deep.","POINT (76.25 -51.666667)",
"Shepard","Guyot",,,,,,"Named for pioneer marine geologist Francis P. Shepard, at SIO, from mid-1930s to early 1980s.",,"POINT (-179.75 19.166667)",
"Shepherd","Seamount",,,,,,,,"POINT (-154.124906412496 17.5136899135317)",
"Shichito-Iojima","Ridge","SCUFN-15","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"""Shichito"" designates a group of seven islands in this area. ""Iojima"" means ""Island of Io,"" ""Io"" being a nearby island and ""Jima"" the Japanese term for ""island.""","Contains 15 seamounts, 5 knolls and 3 banks. Shown as Iwo Jima Ridge in ACUF Gazetteer.","LINESTRING (141.5 24, 140.166667 30)",
"Shichiyo","Seamount Chain","SCUFN-15","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"""Shichiyo"" is the Japanese term for ""seven days of the week.""",,"LINESTRING (140.336666667 29.48333333, 140.63333333 28.56666667, 140.8 27.66666667)",
"Shigematsu","Seamount","SCUFN-26","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan","2013","Japanese survey vessel ""Takuyo""","2000","Named after the Japanese hydrographer and captain Ryoichi Shigematsu (1883-1941). He was the pioneer of oceanographic observation at the Japan Hydrographic Department, initiating oceanographic observations of the wide area of the Western Pacific down to the Equator. On October 3, 1925, he was successful in lead soundings in the Mariana Trench on board the Survey Vessel ""Manshu"", obtaining a depth of 9814.6 m at coordinates 11°13.8'N, 142°09.3'N. This particular deep was later named ""Manshu Deep"" (December 1951 issue of the National Geographic Magazine). That deep is now known as ""Challenger Deep"", where HMS ""Challenger VIII"" in 1951 confirmed deeper soundings than that of ""Manshu Deep"".",,"POINT (158.8865 26.8493)","POLYGON ((158.731 26.8278, 158.8308 26.7388, 158.9288 26.7407, 158.9833 26.7897, 159.0763 26.8835, 159.0685 26.9293, 158.9273 26.9805, 158.7347 26.9185, 158.731 26.8278))"
"Shikoku","Basin","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"Named after the nearby island of Shikoku, Japan.","Boundaries indistinct. Deeper near Kyushu-Palau Ridge (5000-5960 m). Taken from Japanese Bathymetric Chart No. 6725. Positions revised by SCUFN in 2001.","LINESTRING (136 32, 137 26, 138.5 23.5)",
"Shilov","Knoll","SCUFN-25","State Scientific Centre ""Yuzhmorgeologiya"" (Melnikov, M. E.), Russia, State Scientific Centre ""Yuzhmorgeologiya"" 20, Krymskaya St., Gelendzhik 353461, Russia","2012","Russian research vessel ""Gelendzhik""","1999","Named after V. V. Shilov (1960-2011), a Russian expert in the study of geological structure and ocean minerals. He participated in the ODP program through 13 ocean expeditions, including 5 in the area of the Clarion and Clipperton fracture zones. He is the author of more than 120 scientific publications on the above area and on the Mid-Atlantic Ridge.","Conical shape.","POINT (-131.2603 13.866)",
"Shimada","Seamount",,"Thomas Chase, Scripps Institution of Oceanography (SIO), USA","1957",,,"Named after IATTC Fisheries scientist Bell Shimada, killed in a 1955 airplane crash while en route to an Eastern Pacific Expedition.",,"POINT (-117.490574137537 16.865352446622)",
"Shimotsuki","Seamount","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"""Shimotsuki"" means November in Japanese.","Relief: 1400 m; Least depth: 4160 m. Taken from Japanese Bathymetric Chart No. 6722.","POINT (135.216667 21.705)",
"Shinjuboshi","Seamount","SCUFN-26","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan","2013","Japanese survey vessel ""Takuyo""","1997","""Shinjuboshi"" is the Japanese term for the Spica, the brightest star in the Virgo, in one of the Japanese dialects.",,"POINT (134.6515 16.253)","POLYGON ((134.4003 16.1793, 134.4088 16.1195, 134.4463 16.0703, 134.5797 16.1585, 134.6828 16.161, 134.7657 16.2388, 134.816 16.2792, 134.811 16.3295, 134.7078 16.3295, 134.6198 16.3948, 134.5352 16.3398, 134.4772 16.353, 134.4193 16.3142, 134.462 16.2297, 134.4003 16.1793))"
"Shinkai","Deep","SCUFN-24","Yasuhiko Ohara, Japan Hydrographic and Oceanographic Department (JHOD); and Kantaro Fujioka, Japan Agency for Marine-Earth Science and Technology (JAMSTEC), 1) Japan Hydrographic and Oceanographic Department (JHOD), 2-5-18 Aomi, Koto-ku, Tokyo 135-0064, Japan
2) Japan Agency for Marine-Earth Science and Technology (JAMSTEC), Tokyo, Japan",,"Japanese submersible ""Shinkai 6500""; Japanese research vessel ""Yokosuka""",,"Proposer: Y. Ohara and K. Fujioka, Japan Agency for Marine-Earth Science and Technology (ohara@jodc.go.jp)
Date of Proposal: June 2011
Discoverer: Submersible Shinkai 6500 & R/V Yokosuka (Y. Ohara & J.E. Snow)
Date of Discovery: 7 and 8 November 2003

This deep was discovered during the YK03-09-Leg 2 cruise of R/V Yokosuka. During the cruise, two dives of the submersible Shinkai 6500 (dives #799 & #800) investigated the feature for the first time. The dives recovered mantle peridotites and gabbros, indicating that the feature is geologically a rift basin within the Parece Vela Basin. Geologically, this feature also represents a ¿tectonic window¿, an important setting to study Earth¿s lithosphere. Because of this important discovery by Shinkai 6500, the feature is named after that submersible.","Position: Philippine Sea, Northwestern Pacific Ocean
Minimum Depth: 6000 m
Maximum Depth: 7150 m
Total Relief: 1150 m
Dimension/Size: Rhombic shape

The deep includes only those parts greater than about 6000 m depth.","POLYGON ((138.817 12.633, 138.833 12.433, 139.067 12.8, 139.1 13.1, 139.033 13.1, 138.867 12.833, 138.817 12.633))",
"Shinkov","Seamount","SCUFN-17","Department of Navigation and Oceanography (DNO), Russia, Department of Navigation and Oceanography (DNO), Ministry of Defence. 11 liniya, B-34, 199034, St. Petersburg, Russian Federation",,,,"Named in memory of Dmitriy Vasil'yevich Shinkov (1900-1981), a hydrographer who served in the Northern Fleet hydrographic subdivisions for many years. He made considerable contributions to the study of the bottom relief of the Arctic. He was the assistant chief editor of the Russian Nautical Atlas.","Minimum depth is 2246 meters. Total relief is 1100 meters. The seamount has a rounded shape.","POINT (117.833333 81.8)",
"Shinsei","Seamount","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"""Shinsei"" is the Japanese term for a nova.","Relief: 2800 m; Least depth: 1200 m. Taken from Japanese Bathymetric Chart No. 6725.","POINT (136.456667 24.628333)",
"Shio-No-Misaki","Canyon","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"Named after the nearby Cape Shio-No-Misaki.","Relief (at four locations): 200 m, 500 m, 300 m, and 400 m. Poorly defined in deeper section. Taken from Japanese Bathymetric Chart No. 6602.","LINESTRING (135.5 33.516667, 136.041667 33.1, 136.066667 32.85)",
"Shirase","Bank",,,,,,"Named after Lieutenant Shirase, leader of the Japanese expedition in ""Kainan Maru"" (""Opener up of the South""), 1919.","Formerly, Shirase Basin.","POINT (-158 -76.666667)",
"Shiribeshi","Seamount",,,,,,,,"POINT (139.5333 43.5833)",
"Shirshov","Ridge",,"Gleb B. Udintsev, Institute of Oceanology of the Russian Academy of Sciences (IO RAS), Institute of Oceanology, Russian Academy of Sciences (IO RAS), 
Nakhimovskiy pr., 36, Moscow, Russia, 117218",,"Russian R/V Vityaz (8th and 16th cruises)",,"Named after the Russian hydrobiologist, Academician P. P. Shirshov (1905-1953).",,"LINESTRING (170.5 57.166667, 170.5 59.5)",
"Shito-oke","Seamount","SCUFN-24","Japanese Committee on Undersea Feature Names",,"Japanese survey vessel ""Takuyo""",,"Proposer: Japanese Committee on Undersea Feature Names (JCUFN), c/o JHOD, 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan (ohara@jodc.go.jp)
Date of Proposal: August 2011
Discoverer: Japanese S/V Takuyo
Date of Discovery: June 2005

Named after the town of Shito-oke on nearby Kikai Island.","Position: Philippine Sea, NW Pacific Ocean
Minimum Depth: 2600 m
Maximum Depth: 4600 m
Total Relief: 2000 m
Dimension/Size: Conical shape with diameter of 10 km","POLYGON ((131.617 28.717, 131.633 28.7, 131.667 28.675, 131.708 28.683, 131.708 28.717, 131.683 28.742, 131.65 28.758, 131.625 28.75, 131.617 28.717))",
"Shiwasu","Seamount","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"""Shiwasu"" means December in Japanese.","Relief: 1700 m; Least depth: 3550 m. Taken from Japanese Bathymetric Chart No. 6722.","POINT (134.93 22.138333)",
"Shmakov","Escarpment","SCUFN-17","Garrik E. Grikurov, All-Russia Research Institute for Geology and Mineral Resources of the World Ocean (VNIIOkeangeologia)",,"USSR Northern Fleet Hydrographic Expedition",,"Named after Konstantin Andreyevich Shmakov (1929-1993), astronomer with the North Hydrographic Expedition. From 1964 he carried out astronomic referencing of hydrographic and gravimetric works, as part of air expeditions in high latitudes, thus contributing to the study of the Arctic Ocean.","Major feature - steep and sinuous. See Papanin Deep.","LINESTRING (-120 88.916667, -160 88.85, -180 88.666667, 150 88.333333, 148 87.333333)",
"Shoho","Seamount","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"""Shoho"" designates an era in Japanese history.","Relief: 1400 m; Least depth: 375 m. Taken from Japanese Bathymetric Chart No. 6602. Shown as Shôhô in ACUF Gazetteer.","POINT (138.735 32.333333)",
"Shokujo","Seamount","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"""Shokujo"" designates, in Japanese, the star Vega.","Relief: 2000 m; Least depth: 2890 m. Taken from Japanese Bathymetric Chart No. 6722.","POINT (136.06 23.583333)",
"SHOM","Seamounts","SCUFN-14","Jean-René Vanney, University of Paris IV, France; and Portuguese Hydrographic Office (Instituto Hidrografico)",,,,"Named after the French Hydrographic/Oceanographic Office (SHOM) that carried out detailed surveys of the Azores region.","A cluster rather than a ""seamount chain.""","LINESTRING (-27.083333 40.583333, -27 40, -26.9 39.566667)",
"Shona","Ridge",,,,,,,,"POINT (2.75 -51)",
"Shor","Seamount",,,,,,"Named after SIO marine seismologist George G. Shor, Jr. (1921-2009).",,"POINT (-133.083333 42.5)",
"Shortland","Canyon",,,,,,,"Shown at position 43°50'N-58°15'W (The Gully) in ACUF Gazetteer.","POINT (-45 59)",
